	title	subtitle	level	links
10	Option d'achat sur un nouveau système	1. Détenir une partie du protocole	Niveau 1	"{""Anil (2021). Option d'achat sur un nouveau système. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Option-dachat-sur-un-nouveau-systeme.png', ""Croesus (2021). With Bitcoin, it's possible to take an ownership stake in the entire Internet of Value."": 'https://twitter.com/Croesus_BTC/status/1367165017280237569'}"
11	Transactions résistantes à la censure	Vers une société de  surveillance ?	Niveau 1	"{'Y. de Mombynes (2023). Les MNBC : de potentiels instruments totalitaires': 'https://twitter.com/ydemombynes/status/1648028944627560452', 'BIS Agustin Carstens (2023). The central banks will have absolute control...': 'https://twitter.com/HODL1966/status/1647531126146187265', 'WEF\'s Schwab (2023).""If you have nothing to hide, you shouldn\'t be afraid""': 'https://twitter.com/wideawake_media/status/1657353571212443649', 'Camélia Cam’s (2023). En 1982, on parlait déjà du crédit social et de manipulation climatique dans « Il était une fois l’homme »': 'https://twitter.com/CameliaCams/status/1661691664270864389', 'Bitcoin Archive (2023). Your account could be frozen cuz of your politics.': 'https://twitter.com/BTC_Archive/status/1655874701321814018', 'S. Saurel (2023). We have Gold because we cannot trust Gov. - H. Hoover': 'https://twitter.com/ssaurel/status/1655846013679157252', 'Vlad (2023). Argentina Bans Payment Apps From Offering BTC to Customers': 'https://twitter.com/TheVladCostea/status/1654647230643544065', 'Robert F. Kennedy Jr (2023). The financial censorship of political enemies is something we’re used to seeing under authoritarian regimes.  CBDCs are the ultimate mechanisms for social surveillance and control': 'https://twitter.com/RobertKennedyJr/status/1654303142966706176', 'Bitcoin Archive (2023). UK government to give tax authorities power to seize your Bitcoin from online wallets on exchanges.': 'https://twitter.com/BTC_Archive/status/1656239630612590593', 'A. Stachtchenko (2023). On ne peut pas suspendre le cours de Bitcoin. BFM': 'https://twitter.com/bfmbusiness/status/1651979060971466752', 'Gov. de Santis (2023). ""If they ever get away with implementing a CBDC they will impose social credit scores and ESG on top of that.""': 'https://twitter.com/RadarHits/status/1654099729490345984'}"
12	Transactions résistantes à la censure	Vers une société de  surveillance ?	"WEF's Schwab (2023).""If you have nothing to hide, you shouldn't be afraid"""	{'Marty Bent (2023). This feels like the endgame': 'https://tftc.io/martys-bent/issue-1340/'}
13	Transactions résistantes à la censure	Weaponizing money	Niveau 1	"{'Elon Musk (2023). ""Weaponizing currency repeatedly will lead other countries to stop using it."" Radar': 'https://twitter.com/RadarHits/status/1650756923698868225'}"
14	Transactions résistantes à la censure	Weaponizing money	"Elon Musk (2023). ""Weaponizing currency repeatedly will lead other countries to stop using it."" Radar"	"{""Alexandre Stachtchenko (2023). Nos libertés sont attaquées et tout le monde s'en f***. GAC"": 'https://www.youtube.com/watch?v=cwqJOl3yan8'}"
15	Transactions résistantes à la censure	Moyen de  paiement résistant à la censure	Niveau 1	"{""Anil (2021). Transactions résistantes à la censure. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Transactions-resistantes-a-la-censure.png'}"
16	Transactions résistantes à la censure	Moyen de  paiement résistant à la censure	Niveau 2	"{'Robert F Kennedy Jr\xa0 (2022). Keynote - Bitcoin 2023. BM': 'https://www.youtube.com/watch?v=fz7FPl065II', 'M. Ahlborg (2023). Analysis of the popularity of payment methods over time.': 'https://twitter.com/MattAhlborg/status/1647966698845208576', 'Adam Mashirque (2023). Many people are working on Bitcoin payment resilience in worst case scenarios.': 'https://twitter.com/sakak_musdom/status/1653028645970247682', ""Colin Harper (2020). The long and winding story of Silk Road, Bitcoin's earliest major application. BM"": 'https://bitcoinmagazine.com/culture/the-long-and-winding-story-of-silk-road-bitcoins-earliest-major-application'}"
17	Transactions résistantes à la censure	Moyen de  paiement résistant à la censure	Niveau 3	"{'Badders Niacinshill (2023). Did you read ""What is the Global Public-Private-Partnership': 'https://twitter.com/Hodlerthanthou2/status/1657082777039167514'}"
18	Transferts de fonds et échange de devises	Rails de paiement	Niveau 1	"{""Anil (2021). Règlement de montants élevés. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Reglement-de-montants-eleves.png', ""Anil (2021). Transferts de fonds & Forex. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Transferts-de-fonds-Forex.png', 'Cross-border Remittance: Bridging the Financial Divide in Lightning Network in Action: Real-World Use Cases and Applications. Apollo': 'https://learn.heyapollo.com/blog/lightning-network-in-action-real-world-use-cases-and-applications', '60 minutes (2021). How the Strike app helped Salvadorans send bitcoin': 'https://www.youtube.com/watch?v=Hlj-QQgbW90'}"
19	Transferts de fonds et échange de devises	Rails de paiement	Cross-border Remittance: Bridging the Financial Divide in Lightning Network in Action: Real-World Use Cases and Applications. Apollo	"{""L'Afrique parle Bitcoin (2023). Thread sur la remittance (envoi de fonds) en Afrique"": 'https://twitter.com/Afrique_Bitcoin/status/1669715369039212547', 'Jack Mallers (2022). Payment Demo: Strike CEO - Bitcoin 2022 Conference. Bitcoin Magazine': 'https://www.youtube.com/watch?v=YTqCs6RY9O4', 'BTC Sessions (2022). Strike - Send Payments To Anyone In The World For Free (Full Tutorial)': 'https://www.youtube.com/watch?v=4-vJ7zZQ4wU'}"
20	Transferts de fonds et échange de devises	Faire des paiements importants en bitcoin	Niveau 1	{'BJDichter (2023). The state of Florida now allows for real estate transactions to be processed using Bitcoin': 'https://twitter.com/BJdichter/status/1657823950234177540'}
21	Value4Value, Micropaiements, etc.	Micro-paiements	Niveau 1	"{""Anil (2021). Micropaiements. Cas d'usage"": 'https://btctouchpoint.com/wp-content/uploads/2023/05/Anil-Cas-dusage-Micropaiements.png', 'Micropayments: Small Transactions, Big Impact in Lightning Network in Action: Real-World Use Cases and Applications. Apollo': 'https://learn.heyapollo.com/blog/lightning-network-in-action-real-world-use-cases-and-applications'}"
22	Value4Value, Micropaiements, etc.	Micro-paiements	Niveau 2	{'Aantonop (2017). Bitcoin Q&A: Microfinance & Streaming Money': 'https://www.youtube.com/watch?v=xs6hUcfuX9w&list=PLPQwGV1aLnTurL4wU_y3jOhBi9rrpsYyi&index=44'}
23	Value4Value, Micropaiements, etc.	Modèle Value 4 Value	Niveau 2	{'The Fountain Guide to Value for Value': 'https://fountain.fm/podcaster-guide', 'A New Way to Think about Value. Value4Value': 'https://value4value.info/', 'Adam Curry (2022).How to receive Bitcoin in real-time for your podcast': 'http://adam.curry.com/html/HowtoreceiveBitcoini-BrxM2PDPNJ7Zzbz7G28xk4H0D658fH.html'}
24	Value4Value, Micropaiements, etc.	Cyber-security network	Niveau 1	{'Michael Saylor (2023). Bitcoin as the ultimate cybersecurity and cybertruth network. N. Brunell': 'https://twitter.com/natbrunell/status/1655589154623823873'}
25	Value4Value, Micropaiements, etc.	Cyber-security network	Michael Saylor (2023). Bitcoin as the ultimate cybersecurity and cybertruth network. N. Brunell	{'Michael Saylor (2023). Bitcoin as a Cybersecurity Solution in Why Bitcoin is for Everyone. Apollo': 'https://learn.heyapollo.com/blog/michael-saylor-why-bitcoin-is-for-everyone'}
26	Value4Value, Micropaiements, etc.	Autres cas d'usage	Niveau 2	{'Tiping, Donation, IoT, Retail, Gaming, DeFi in Lightning Network in Action: Real-World Use Cases and Applications. Apollo': 'https://learn.heyapollo.com/blog/lightning-network-in-action-real-world-use-cases-and-applications'}
27	Progresser pas-à-pas	Conseils pour séquencer son apprentissage	Niveau 1	"{'Bitcoin Magazine (2023). Be your own Bank"" Bitcoin truck spotted outside the recently failed First Republic Bank': 'https://twitter.com/BitcoinMagazine/status/1653186356284207107', 'Conseil N°1: Fais un plan avant de te lancer dans Bitcoin. ADB': 'https://www.youtube.com/watch?v=_Gy5po9sTtw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=1', 'Cours LvL 0.3: Conseils pour débuter en Bitcoin. ADB': 'https://www.youtube.com/watch?v=juMUJ3MWeZY&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=4', 'BTC Sessions (2021). New to Bitcoin? Top 5 Tips When Getting Started': 'https://www.youtube.com/watch?v=V-H4mBYJf7E&list=PLxdf8G0kzsUWe-rG0X6LDJAMXL7761B42&index=2'}"
28	Progresser pas-à-pas	Conseils pour séquencer son apprentissage	Niveau 2	{'Stephen Hall (2023).6 stages of personal bitcoin adoption': 'https://unchained.com/blog/six-stages-bitcoin-adoption/', 'Darthcoin (2023). The 5 stages to become a real Bitcoiner': 'https://darthcoin.substack.com/p/5-stages-became-bitcoiner'}
29	Acheter du BTC	1. Vue d'ensemble	Niveau 1	"{'Où et comment acheter des Bitcoins en 2021. ADB': 'https://www.youtube.com/watch?v=0dWf_iteNEk&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=19', 'Choose Bitcoin (2022). Les Meilleurs sites sur lesquels Acheter du Bitcoin ?': 'https://choose-bitcoin.com/fr/annuaire-ou-acheter-du-bitcoin/', 'Stevenot et Hall (2023). The different ways to buy bitcoin compared: Exchanges, P2P, ATMs, and more Unchained Capital': 'https://unchained.com/blog/ways-to-buy-bitcoin/', 'Stratégie Bitcoin : Buy the dip! en ""bull market"" (marché haussier). ADB': 'https://www.youtube.com/watch?v=YLyKHG-rAhY&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=22'}"
30	Acheter du BTC	1. Vue d'ensemble	Niveau 2	{'Comment acheter des bitcoins sans se faire arnaquer. Bitcoin.fr': 'https://bitcoin.fr/comment-acheter-des-bitcoins-sans-se-faire-arnaquer/', 'Jessy Gilger (2023). 6 strategies for dealing with bitcoin volatility Unchained Capital': 'https://unchained.com/blog/6-strategies-for-dealing-with-bitcoin-volatility/'}
31	Acheter du BTC	2.  DCA: choisir une fréquence d'achat	Niveau 1	"{'Stratégie Bitcoin - Acheter 10 € par semaine ?! ADB': 'https://www.youtube.com/watch?v=YkvyUrOxI9Y&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=20', ""Création plan d'épargne BTC- 50€/mois, tuto avec une débutante. ADB"": 'https://www.youtube.com/watch?v=mpT3kJDfRVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=21', ""Butaniki : L'épargne Bitcoin facile"": 'https://butanuki.com/'}"
32	Acheter du BTC	2.  DCA: choisir une fréquence d'achat	Niveau 2	{'Stevenot (2023). What is dollar-cost averaging (DCA) and why is it popular in bitcoin? Unchained Capital': 'https://unchained.com/blog/dca-bitcoin/', 'Stevenot (2023). How to establish a dollar-cost averaging (DCA) plan as a bitcoin saver. Unchained Capital': 'https://unchained.com/blog/bitcoin-dca-strategy/'}
33	Acheter du BTC	3. Acheter du BTC sur un exchange	Niveau 1	{'Comment acheter vos crypto-monnaies en quelques clics ? Paymium': 'https://www.youtube.com/watch?v=JVizZzRmJf8', 'Tutoriel Bitstamp complet - (Achat-Vente de bitcoin + retrait). ADB': 'https://www.youtube.com/watch?v=8g9aGQ53T_A&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=23', 'ArmanTheParman - How To Buy Bitcoin from an exchange': 'https://armantheparman.com/howtobuybitcoin2/', 'M. Odell & Bitcoin Q&A (2022). Buying Bitcoin with KYC in Citadel Dispatch E43: bitcoin for beginners': 'https://www.youtube.com/watch?v=OxdgmDxOMRY&t=319s'}
34	Acheter du BTC	4. Solutions d'achat en pair-à-pair et achat en liquide	Niveau 1	{'Acheter ses premiers sats en se rendant à un Bitcoin meetup': 'https://btctouchpoint.com/fr/ressources/solutions-pratico-pratiques/#rencontrer', 'Winter Hodler (2023). Acheter du Bitcoin sans KYC au Canada avec Bull Bitcoin': 'https://agora256.com/acheter-du-bitcoin-sans-kyc-au-canada-avec-bull-bitcoin/'}
35	Acheter du BTC	4. Solutions d'achat en pair-à-pair et achat en liquide	Niveau 2	"{'Découvre Bitcoin (2023). BTC 205 - Solution achat en pair à pair. 10 vidéos tutos et analyse comparative des solutions': 'https://www.youtube.com/playlist?list=PLinTFKehfR4x6c2qMRgovr55lTJyWeU7K', ""KYCNOT.ME. Analyse comparative exhaustive des solutions d'achat P2P."": 'https://kycnot.me/', 'Tuto Bisq par JohnOnChain, Solution achat BTC sans KYC. ADB': 'https://www.youtube.com/watch?v=mvh55CYmLVw&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=25', 'M. Odell & Bitcoin Q&A (2022). Buying Bitcoin with No-KYC in Citadel Dispatch E43: bitcoin for beginners': 'https://www.youtube.com/watch?v=OxdgmDxOMRY&t=819s'}"
36	Acheter du BTC	5. Trouver un distributeur, des cartes cadeaux	Niveau 1	"{""Azte.co - Cartes cadeaux Bitcoin/ Bons d'achat Bitcoin"": 'https://azte.co/#about', 'Carte mondiale de tous les commerces acceptant le bitcoin. BTCMap.org': 'https://btcmap.org/map', 'Badders Niacinshills (2023). Going down to my local Bitcoin ATM': 'https://twitter.com/Hodlerthanthou2/status/1668890607513632768?s=20', 'Bitcoin history (2023). Des cartes cadeaux Bitcoin disponible à la vente dans les bureaux de postes de Genève, en Suisse': 'https://twitter.com/MindsetCryptoFR/status/1659535402418536449'}"
37	Utiliser un wallet/ porte-clés	1. Wallet ? Portefeuille ?  Porte-clés ? Comment procéder ?	Niveau 1	"{'David St-Onge (2022). Clés, portefeuille et transactions - Doodling #5': 'https://www.youtube.com/watch?v=y-w4oDIEf2w', 'Choose Bitcoin (2021). Comment Sécuriser ses Bitcoins': 'https://choose-bitcoin.com/fr/securiser-ses-bitcoins/', ""Qu'est-ce qu'un portefeuille Bitcoin ? Cours LvL 3.1 - ADB"": 'https://www.youtube.com/watch?v=H8pXUrrLt50&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=10', 'Quelle sécurité choisir pour vos Bitcoins ? Cours LvL 3.1 - ADB': 'https://www.youtube.com/watch?v=TRf4mMDanI8&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=11', 'Mettre en place son portefeuille Bitcoin - Bitcoin 101 - ADB': 'https://www.youtube.com/watch?v=2MRRERHm7ZM&list=PLinTFKehfR4zX1E6s5ik1oSvQlQysUt6D&index=10', 'Tutoriels wallets/porte-clés - ADB': 'https://www.youtube.com/playlist?list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV', 'How to stash sats: A compendium of wallets, devices, and services that have helped people all over the world safely store their sats. Stack Sats': 'https://www.stacksats.how/bitcoin-wallets?bitcoin-wallet-categories=hardware#filter', 'How to spend sats: A compendium of mobile wallets, that people all over the world are using to spend sats at the speed of light. Stack Sats': 'https://www.stacksats.how/lightning-wallets'}"
38	Utiliser un wallet/ porte-clés	1. Wallet ? Portefeuille ?  Porte-clés ? Comment procéder ?	Niveau 2	"{'Arman The Parman (2022). Conservation du Bitcoin - Système zéro-confiance': 'https://btctouchpoint.com/wp-content/uploads/2023/04/Conservation-du-Bitcoin-Le-systeme-Zero-confiance.pdf', 'FAQ sur les portefeuilles. Académie Découvre Bitcoin': 'https://academie.decouvrebitcoin.fr/lessons/faq-sur-les-portefeuilles/', 'Bitcoin Wallet Guide - Bitcoiner.Guide': 'https://bitcoiner.guide/wallet/', ""Loïc Morel (2023). Qu'est-ce que la phrase de récupération d'un portefeuille Bitcoin ? Bitstack"": 'https://www.bitstack-app.com/blog/qu-est-ce-que-la-phrase-de-recuperation-d-un-portefeuille-bitcoin-24-mots'}"
39	Utiliser un wallet/ porte-clés	2. Solutions hébergées/custodial   vs. conservation  autonome/self-custody	Niveau 1	{'Bitcoin Magazine (2022). Apprendre la conservation autonome - 5 conseils': 'https://btctouchpoint.com/wp-content/uploads/2023/04/Apprendre-la-conservation-autonome.pdf', 'BTC Sessions (2022). How To Self Custody Your Bitcoin': 'https://www.youtube.com/watch?v=z3n1uZrNvXo&list=PLxdf8G0kzsUWe-rG0X6LDJAMXL7761B42&index=14', 'Nick Neuman (2021). Proof of Keys: a critical test for Bitcoin. BM': 'https://bitcoinmagazine.com/industry-events/proof-of-keys-a-critical-test-for-bitcoin', 'M. Odell & Bitcoin Q&A (2022). Self-Custody your Bitcoin in Citadel Dispatch E43: bitcoin for beginners': 'https://www.youtube.com/watch?v=OxdgmDxOMRY&t=1576s', 'Loïc Morel (2023). Introduction à la conservation d’actifs numériques : comment sécuriser soi-même ses clés Bitcoin ? Bitstack': 'https://www.bitstack-app.com/blog/introduction-a-la-conservation-d-actifs-numeriques-comment-securiser-soi-meme-ses-cles-bitcoin', 'Quelle sécurité choisir pour vos Bitcoins ? - Cours LvL 3.1 - ADB': 'https://www.youtube.com/watch?v=TRf4mMDanI8&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=11', 'Conseil N°2: Reprends le contrôle de tes Bitcoins - ADB': 'https://www.youtube.com/watch?v=R6Yutjp-JxM&list=PLinTFKehfR4wGzSb41gAaFFImT9c_hrJV&index=12'}
40	Utiliser un wallet/ porte-clés	2. Solutions hébergées/custodial   vs. conservation  autonome/self-custody	Loïc Morel (2023). Introduction à la conservation d’actifs numériques : comment sécuriser soi-même ses clés Bitcoin ? Bitstack	"{'Tuur Demeester (2022). Passage in the King James Bible, on the importance of bitcoin self custody': 'https://twitter.com/ChartsBtc/status/1599421354524442625', 'J. Burnett (2022). 2022 has been a self custody wake up call for many people.': 'https://twitter.com/IIICapital/status/1589991799975997447', 'Que sont les services ""custodial"" - ADB': 'https://www.youtube.com/watch?v=-MP2plIm17s&t=4s'}"
41	Utiliser un wallet/ porte-clés	3. Hot wallet / Portefeuille chaud	Niveau 1	{'Winter Hodler (2023). Les 6 meilleurs choix de portefeuilles Bitcoin sur mobile en 2023': 'https://agora256.com/6-meilleurs-portefeuilles-bitcoin-2023/', 'Hari Seldon (2023). BlueWallet : une introduction': 'https://agora256.com/bluewallet-une-introduction/', 'Tutoriel Portefeuille. ADB': 'https://academie.decouvrebitcoin.fr/lessons/4-tutoriel-portefeuille/', 'Tutoriel Blue Wallet. ADB': 'https://www.youtube.com/watch?v=UCAtFgkdJtM', 'Tutoriel Green Wallet. ADB': 'https://www.youtube.com/watch?v=lONbCS31am4', 'Tutoriel Electrum. ADB': 'https://academie.decouvrebitcoin.fr/topic/tutoriel-electrum-ordinateur/'}
42	Utiliser un wallet/ porte-clés	3. Hot wallet / Portefeuille chaud	Niveau 2	{'BTC Sessions (2022). Top 5 Bitcoin Desktop Wallets of 2022': 'https://www.youtube.com/watch?v=xtiGI-zb184&list=PLxdf8G0kzsUVzpmuXsCjtm3XWblNzdeEL&index=9', 'Tuto Samouraï Wallet. ADB': 'https://www.youtube.com/watch?v=kS6iC_ovarQ', 'ArmantheParman - Install Bitcoin Core and Sparrow Wallet': 'https://armantheparman.com/sparrow/', 'BTC Sessions (2022). Electrum Bitcoin Wallet - Versatile and Feature Rich': 'https://www.youtube.com/watch?v=E4EhZg5QslI&list=PLxdf8G0kzsUVzpmuXsCjtm3XWblNzdeEL&index=6', 'M. Odell & Bitcoin Q&A (2022). Software Wallets in Citadel Dispatch E43: bitcoin for beginners': 'https://www.youtube.com/watch?v=OxdgmDxOMRY&t=1771s', 'Sparrow - Bitcoiner.guide': 'https://bitcoiner.guide/sparrow/'}
